,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Pcsk9,log2FC_Pcsk9_vs_NT
Cfd,4.74877485,0.847064842,1.5332543,0.148369942,0.488014743,-4.933568895,0.129971533,3.49439438,4.74877485
Fam83f,4.047496783,1.20166596,3.7094394,0.0024806,0.176857094,-1.344673689,0.111511857,1.8439069,4.047496783
Mir6392,3.869598952,0.931111948,2.095133171,0.055591608,0.359786477,-4.118441653,0.3698573,5.40629266,3.869598952
Hotairm1|Hotairm2,3.169511042,0.435645415,1.835816163,0.088563205,0.412578578,-4.512790214,0.040552367,0.3648666,3.169511042
Gm5741,3.109223099,0.831831007,3.030914894,0.009324839,0.240897959,-2.540717421,0.126726133,1.09354234,3.109223099
4930502E09Rik,2.93183816,0.509890505,4.264895903,0.000853932,0.122140618,-0.381969205,0.105813467,0.80744356,2.93183816
1700048O20Rik,2.860689608,0.629898867,2.493119352,0.026389854,0.301174079,-3.469076433,0.0776663,0.56413884,2.860689608
Obox4-ps3,2.819689641,1.937242388,5.696973853,6.41E-05,0.038937276,1.912672142,0.577493767,4.07716664,2.819689641
Angptl8,2.819246664,7.693332985,6.618048673,1.40E-05,0.022279723,3.209106142,56.94739,401.931122,2.819246664
Snord3b-ps2,2.767751862,0.528397052,2.824254881,0.013945531,0.261100619,-2.901882548,0.194234467,1.32282572,2.767751862
Rps15a-ps7,2.694816317,0.534012643,2.35113156,0.034541988,0.320379751,-3.705738343,0.101899467,0.65976984,2.694816317
Mir7085,2.684024748,3.358395501,4.700737837,0.000377778,0.098959878,0.34922491,2.826566,18.1648196,2.684024748
Igkv6-17,2.670982271,1.560515506,0.884919925,0.391729719,0.710440953,-5.64070825,1.349497,8.5944424,2.670982271
Mir1932,2.65593083,1.585294056,1.888031289,0.08076169,0.401314689,-4.435626531,0.58357,3.6779668,2.65593083
Spata45,2.650818215,0.55776997,2.020484518,0.063687131,0.374205879,-4.234697259,0.0821466,0.51589984,2.650818215
Rpsa-ps2,2.57308726,0.346378491,1.733479983,0.105836704,0.437257368,-4.660360128,0.0596833,0.35516428,2.57308726
Gm7027,2.539368005,0.373241331,1.246872431,0.23370004,0.586179228,-5.282868024,0.046339433,0.26938702,2.539368005
Nkx2-6,2.46684008,1.307775183,3.42309907,0.004332621,0.198182476,-1.849093451,0.421648433,2.33100578,2.46684008
H4c12,2.466030392,1.684401011,1.773224996,0.098801295,0.42727961,-4.603643088,0.783757333,4.33042714,2.466030392
Mir6905,2.453597717,1.151590645,0.934245289,0.366631039,0.69172995,-5.598050822,0.570637,3.1258378,2.453597717
Gm25134,2.42347564,0.781923495,1.401519093,0.18368812,0.531932785,-5.100785248,0.249653667,1.33929674,2.42347564
Gm22378,2.381426018,1.294829044,1.493475429,0.158373962,0.50194576,-4.985172343,0.359861,1.8750612,2.381426018
Osbpl3,2.377039181,0.756999864,2.429163187,0.029803619,0.311157347,-3.576266702,0.278452837,1.446477698,2.377039181
Upk3b,2.267768104,0.509328446,2.300962543,0.037957897,0.323082346,-3.788150676,0.13390699,0.64486599,2.267768104
Msln,2.263461903,0.65078552,2.371560134,0.033236455,0.316429974,-3.67198982,0.173911567,0.83502292,2.263461903
Vmn1r90,2.219687044,0.610209285,2.143014186,0.050912513,0.352217159,-4.042825732,0.12377624,0.5765403,2.219687044
Obox4-ps2,2.208717195,1.805375541,2.502563571,0.025918713,0.300087524,-3.453171792,0.7413227,3.4268684,2.208717195
Cidea,2.20819148,0.42429392,1.276899944,0.223220768,0.575968472,-5.248781562,0.205899933,0.95145462,2.20819148
Cldn20,2.201990792,0.586550414,2.64141713,0.019861288,0.281633063,-3.217301568,0.123501167,0.56824594,2.201990792
H1f4,2.183308068,0.693610109,2.191986407,0.046508466,0.343882414,-3.964690951,0.153073573,0.69525071,2.183308068
Igfbp6,2.164839781,1.0939221,2.584899493,0.022140462,0.292920797,-3.313745209,0.392610733,1.76053182,2.164839781
Dlec1,2.14901622,0.558092236,1.628545341,0.126573525,0.460261046,-4.806250355,0.130395233,0.57833578,2.14901622
Arrdc3,2.117748883,4.785991591,7.226733572,5.47E-06,0.014045905,3.986876157,6.733060333,29.2225724,2.117748883
Gm9396,2.111222198,0.690909137,3.480406432,0.003874054,0.192376162,-1.747930986,0.258569267,1.11716704,2.111222198
Mogat1,2.060406149,0.560009989,2.139511171,0.051242004,0.352217159,-4.048384438,0.1801289,0.75132433,2.060406149
Clec2h,2.052648039,1.384911711,1.704055925,0.111326711,0.442561265,-4.701843006,0.776442433,3.2212015,2.052648039
Myl7,2.052324496,0.543947799,2.281783582,0.03934638,0.32731813,-3.819473133,0.267057433,1.10768406,2.052324496
Igkv4-91,2.050229462,0.705625234,0.966495043,0.35083743,0.682008726,-5.569072512,0.293415067,1.21524258,2.050229462
Mtnr1a,2.043226517,1.025913299,2.43147383,0.029673239,0.311157347,-3.572410273,0.295799063,1.21918403,2.043226517
4933417D19Rik,2.042617185,1.297444148,4.372470921,0.000696866,0.122140618,-0.199196733,0.373029733,1.53685358,2.042617185
Gm23645,2.002589026,1.614081338,2.300737076,0.037973948,0.323082346,-3.788519501,1.109572,4.44626,2.002589026
Klf10,1.98143431,4.395294097,3.902724103,0.001706775,0.150223342,-1.006617478,8.723524667,34.447932,1.98143431
Gm11266,1.978935371,1.472482176,3.599758383,0.003070023,0.181149926,-1.537519641,0.528545933,2.08353904,1.978935371
Gm26493,1.976648589,0.803197563,1.02395566,0.323902749,0.661171926,-5.515352166,0.2937102,1.15597794,1.976648589
Mir421,1.975225384,0.59226672,1.431717169,0.175028288,0.521331498,-5.063398096,0.546923333,2.150446,1.975225384
Nat8f7,1.906183173,0.959112898,1.601383976,0.132485368,0.466874766,-4.843058777,0.416220793,1.560062816,1.906183173
AW495222,1.840804504,0.45522174,2.530084763,0.024591466,0.296071975,-3.406718136,0.175625633,0.6291081,1.840804504
5930430L01Rik,1.812150877,0.781499635,2.63428729,0.020135751,0.283368463,-3.229498913,0.240641833,0.84505096,1.812150877
Gm22881,1.757195608,2.169387283,4.002951871,0.001407483,0.149304757,-0.832464797,1.5964271,5.3965683,1.757195608
Ndufs6b,1.755263695,1.676210939,2.878117295,0.012559569,0.256023082,-2.808141471,1.133288033,3.8258446,1.755263695
Rfx4,1.752228861,0.558067013,1.483264933,0.161031797,0.504563661,-4.998265957,0.147999527,0.498578762,1.752228861
1700092C10Rik,1.746062135,1.346813804,1.896347945,0.079578032,0.399598057,-4.423225155,0.624606467,2.09519068,1.746062135
Gm44851,1.741699528,1.461557281,4.242550012,0.000890893,0.122140618,-0.420108615,0.607522033,2.03172926,1.741699528
Snord35a,1.722886911,0.708975366,1.552161042,0.143806591,0.483030146,-4.908716896,0.461846333,1.5245376,1.722886911
Gm2602,1.717602301,2.343217022,3.258309639,0.005978972,0.22116996,-2.140112811,1.438175133,4.73000488,1.717602301
Gm4950,1.691055827,0.355435605,1.912797479,0.077283007,0.396094409,-4.398608734,0.1292705,0.4174053,1.691055827
Gm17936,1.673603803,0.854576792,2.320167334,0.036614088,0.323082346,-3.756683447,0.250784867,0.80003,1.673603803
Gm19353,1.661314556,0.356809619,2.127296844,0.052406475,0.354618999,-4.067734122,0.211432533,0.66877084,1.661314556
Gm46495,1.652281516,0.449980422,0.861417616,0.404088947,0.718743295,-5.660314817,0.097623233,0.30685944,1.652281516
Mogat2,1.644193485,0.474578359,2.055657618,0.059745973,0.365736741,-4.180175338,0.21227219,0.663505702,1.644193485
Fxyd7,1.631345471,0.699929832,1.715450347,0.109171659,0.438818492,-4.685830718,0.3157085,0.97807058,1.631345471
Fgf21,1.616908251,1.259989956,2.01152067,0.064729085,0.375710105,-4.248517175,0.5304821,1.62707892,1.616908251
Snord32a,1.60614349,1.528157041,1.396107092,0.185276902,0.533481803,-5.10742443,1.133584,3.4510486,1.60614349
Lsmem2,1.605496303,0.399424427,1.491753039,0.158819697,0.50194576,-4.987385478,0.216501833,0.65881598,1.605496303
Gm25492,1.593828049,1.566834749,2.079821337,0.057170197,0.361972662,-4.142453712,1.336085733,4.0329643,1.593828049
G0s2,1.592426916,6.523750016,4.534477183,0.000514329,0.109408354,0.073292549,43.06261,129.857972,1.592426916
Gm10335,1.592344882,1.503112918,5.308825267,0.000125896,0.059507056,1.322819074,1.003009933,3.0244667,1.592344882
Trgc2,1.585300838,0.81850863,1.095606829,0.292462429,0.637732748,-5.444710238,0.484281867,1.45318636,1.585300838
Inmt,1.574463844,8.222600263,3.947086871,0.001567008,0.150223342,-0.929426078,157.4302167,468.866212,1.574463844
Rgs16,1.567764081,4.880621168,1.727020677,0.107021008,0.438610404,-4.669503991,16.002296,47.4379938,1.567764081
Hcn3,1.565949817,5.019115493,2.402742231,0.031333905,0.31216495,-3.62027281,25.79268533,76.3650124,1.565949817
Ptk6,1.565924556,0.716905199,2.436732469,0.029378547,0.311104044,-3.563629031,0.233446033,0.691157082,1.565924556
E230016M11Rik,1.564590555,1.031869512,3.711517379,0.002470617,0.176857094,-1.341026183,0.406333833,1.20190924,1.564590555
Igfbp5,1.562169189,1.75767201,3.423869625,0.004326106,0.198182476,-1.847732861,1.1717047,3.4600148,1.562169189
Ntrk1,1.56124968,0.823670441,1.691285887,0.113786282,0.446408345,-4.719709559,0.384305167,1.13412052,1.56124968
Gm12718,1.554730295,2.398499552,2.367262249,0.03350716,0.316996167,-3.679098936,2.166637667,6.36512216,1.554730295
A930038B10Rik,1.553879095,0.72074364,2.546794489,0.023817824,0.294941309,-3.378438268,0.225445433,0.66192024,1.553879095
Iglc1,1.552241271,1.224171274,2.018134494,0.063958796,0.374594838,-4.238323366,0.749430267,2.19787208,1.552241271
Snora21,1.544411704,0.463966378,1.591604838,0.134671455,0.470977418,-4.856211579,0.291566333,0.85045556,1.544411704
A930024E05Rik,1.54124085,0.472657721,1.856058448,0.0854617,0.40933983,-4.483020563,0.106194367,0.3090731,1.54124085
Ighv7-3,1.532303164,0.614326224,0.556967041,0.586689806,0.826143143,-5.870316899,0.2257916,0.65309596,1.532303164
Gm20426,1.531935143,1.322151683,2.746333492,0.016219615,0.271025055,-3.0368829,0.820980033,2.37405636,1.531935143
Mir7051,1.531871789,0.866923859,1.325836672,0.206949213,0.559670662,-5.191899802,0.547186,1.5822472,1.531871789
Gm11964,1.530817572,0.544307827,0.845415887,0.412651167,0.724580929,-5.673395434,0.2082565,0.6017562,1.530817572
Cyp2d36-ps,1.524477969,3.701910294,3.25378719,0.006032079,0.221711405,-2.148096772,4.397391,12.6505288,1.524477969
Nol3,1.504969142,0.572702606,2.673774222,0.018660699,0.277885462,-3.161840874,0.239100467,0.6786116,1.504969142
Iglv2,1.494316827,0.836666151,2.282865194,0.039266815,0.327103846,-3.817709446,0.7712088,2.17273202,1.494316827
Rab36,1.488629783,1.488387327,3.818014416,0.002010045,0.166143536,-1.154450921,0.762654733,2.14017944,1.488629783
Uts2,1.486972171,0.526327481,1.060396113,0.307617055,0.648047881,-5.479924227,0.171869667,0.48175082,1.486972171
Lcn12,1.48419069,0.566722265,1.304952792,0.213772301,0.566527073,-5.216373536,0.208409,0.58304542,1.48419069
Ppp1r3c,1.481969213,4.26342367,4.157384505,0.001047507,0.124493102,-0.565986479,8.184751667,22.862446,1.481969213
Gm3787,1.479868491,1.356020766,2.830189886,0.013785737,0.261100619,-2.891569295,0.8880786,2.4770582,1.479868491
1810046K07Rik,1.472916208,1.315685782,2.914712003,0.01169619,0.251995505,-2.744279665,0.746452657,2.07202136,1.472916208
Rpl36a-ps1,1.465105243,0.856831094,2.626862847,0.020425465,0.28344721,-3.242191041,0.298512367,0.82414372,1.465105243
Gm6745,1.462769217,0.547786625,1.365912247,0.194349911,0.545782954,-5.144119498,0.237069433,0.65345092,1.462769217
C2cd4d,1.461116965,1.412419209,4.331970849,0.000752179,0.122140618,-0.267842062,0.687570133,1.893028,1.461116965
Mir5107,1.454926837,1.149297292,1.011537312,0.329593412,0.666648655,-5.527186123,0.944685667,2.5897864,1.454926837
Gm20522,1.454322085,0.904313726,2.099112374,0.055188035,0.359786477,-4.112187827,0.3830316,1.04961294,1.454322085
Slc2a4,1.450153852,0.796412722,3.554425289,0.003353387,0.184733123,-1.617383794,0.425773133,1.16337054,1.450153852
Gm10224,1.450151088,0.512500543,1.874598362,0.082707156,0.404833707,-4.455593385,0.2881623,0.78736506,1.450151088
Cyp4a10,1.445517148,2.979623642,1.052592318,0.311052977,0.650443732,-5.487598758,8.2615818,22.50128022,1.445517148
Gm8971,1.439884113,0.500589261,1.547490842,0.144922512,0.484108844,-4.914874875,0.300981633,0.81656038,1.439884113
Mir145a,1.438461141,1.570919646,0.949051135,0.359319696,0.687467887,-5.584852727,1.187605,3.218785,1.438461141
Gm12286,1.436102595,0.483538455,1.865562134,0.084039545,0.40679869,-4.468980278,0.207416033,0.56124474,1.436102595
2410022M11Rik,1.434214173,1.809564541,3.080802455,0.00845921,0.237622325,-2.453030587,1.1396815,3.07981752,1.434214173
Map2k6,1.420652378,2.0493748,3.682407831,0.00261426,0.179175715,-1.392144752,1.669665633,4.46980408,1.420652378
1810041H14Rik,1.412949417,0.675064672,1.741473449,0.104387148,0.435370376,-4.6490157,0.300220233,0.7994294,1.412949417
Mup10,1.409814999,0.62509002,0.762639105,0.458832437,0.755076667,-5.737529971,0.190381697,0.50585005,1.409814999
Gm2614,1.408521142,0.8898725,2.086390972,0.056487876,0.360269,-4.132161436,0.4125675,1.09522192,1.408521142
6430571L13Rik,1.408040206,0.530406981,2.502701569,0.025911889,0.300087524,-3.452939255,0.25137882,0.667100124,1.408040206
Sema5b,1.393994291,0.715201494,2.506744658,0.025712725,0.299950449,-3.446124565,0.397809563,1.04546456,1.393994291
1700113B09Rik,1.393736327,0.873471128,2.757856972,0.015861773,0.270264276,-3.016967996,0.376010533,0.98799888,1.393736327
LOC108167922,1.393548777,0.782104363,1.735700035,0.10543234,0.436661794,-4.657212588,0.484501367,1.27290206,1.393548777
Snhg10,1.385036625,0.821565042,1.857005497,0.085319016,0.40933983,-4.481623249,0.383678833,1.00208696,1.385036625
Ripor2,1.37834705,0.66139187,2.155362422,0.049766733,0.350360233,-4.023198382,0.349763397,0.909281102,1.37834705
Spatc1l,1.377872256,0.949657934,1.962240678,0.070741914,0.385815515,-4.323932703,0.3030914,0.78768848,1.377872256
Snord73a,1.371139618,1.65575447,1.996121485,0.066555691,0.378850907,-4.272186156,1.833802,4.743584,1.371139618
Ltc4s,1.368782344,0.609977468,1.831417769,0.089250342,0.413000078,-4.519234176,0.2141661,0.55308932,1.368782344
Mir1943,1.363414967,1.422502279,1.662137593,0.11957949,0.451617353,-4.76017413,1.266655667,3.2590226,1.363414967
Frs3os,1.353944086,0.441819777,1.068734565,0.303976754,0.64577817,-5.471671536,0.1532157,0.3916346,1.353944086
Ttc39a,1.353575308,0.859427033,1.147354472,0.271215103,0.621520406,-5.391243028,0.570438567,1.45772516,1.353575308
1500011B03Rik|2610524H06Rik,1.349409817,0.831743493,2.236219547,0.042839725,0.338579465,-3.893461727,0.303935067,0.77445046,1.349409817
Gm11837,1.34376714,1.046379783,3.085934734,0.008374816,0.237622325,-2.44400146,0.492488233,1.25000018,1.34376714
Acot3,1.340586206,0.623784934,1.062450982,0.306716992,0.647693972,-5.477895507,0.427298443,1.082151264,1.340586206
Gm17634,1.338265098,0.755584494,2.232771733,0.04311562,0.338579465,-3.899035382,0.347100433,0.8776333,1.338265098
Ighv9-3,1.331632107,1.251857975,0.847816851,0.411358861,0.723606034,-5.671446713,0.8324468,2.09516242,1.331632107
Gm23340,1.325624559,1.406744854,1.139974299,0.274171475,0.623876831,-5.398991506,1.325378233,3.32194616,1.325624559
Bbs12,1.308507276,0.464213862,1.685493991,0.114917452,0.448220208,-4.727785299,0.1480008,0.36657598,1.308507276
Foxl3,1.306394196,1.269405932,2.951720511,0.010882605,0.250692789,-2.679567965,0.683999933,1.69168656,1.306394196
Fam241b,1.291732566,0.81405913,2.532100242,0.024496883,0.295874673,-3.403310066,0.431803567,1.05714966,1.291732566
Gm4705,1.288042149,0.767276296,1.632627202,0.12570513,0.460261046,-4.800683907,0.347674933,0.8490098,1.288042149
Smad9,1.277977504,1.9890328,2.417060247,0.030495534,0.311157347,-3.596445769,1.567046267,3.80006812,1.277977504
Rasl2-9,1.275814292,0.629460416,2.351162164,0.034539996,0.320379751,-3.705687866,0.331072633,0.8016442,1.275814292
F3,1.273009738,2.315545765,3.735917112,0.002356404,0.175210211,-1.298215939,1.927156,4.6572654,1.273009738
Smpdl3b,1.271436745,0.573778944,1.796778722,0.094830865,0.421830427,-4.56967035,0.23209,0.56026956,1.271436745
Lag3,1.265992531,1.236267098,4.634704416,0.000426862,0.10278521,0.240100657,0.778981367,1.87339258,1.265992531
Fads3,1.261641985,2.8062565,3.297055253,0.005542746,0.21435309,-2.071698429,3.310574333,7.9377136,1.261641985
Gm13056,1.25368104,0.695723811,1.965648678,0.070310199,0.384941553,-4.318748415,0.333643533,0.79556984,1.25368104
Fmod,1.250437692,0.523843721,1.542956963,0.146012921,0.485012205,-4.920841066,0.230188933,0.54765076,1.250437692
Blm,1.244762402,0.948477203,2.059421406,0.059337838,0.365736741,-4.174313762,0.362525533,0.85911128,1.244762402
Mir7001,1.238607559,1.466046632,1.830288001,0.089427609,0.413066673,-4.520887939,1.011255333,2.386266,1.238607559
Pnpla3,1.231862583,1.794265553,0.875530326,0.396636521,0.71414719,-5.64859752,2.455086867,5.76626306,1.231862583
4933440J02Rik,1.231636746,0.933069067,2.380685333,0.032668587,0.316429974,-3.656880338,0.468643567,1.10053096,1.231636746
A930007I19Rik,1.222853827,0.474923851,1.960087136,0.071015964,0.386484322,-4.32720627,0.173666323,0.405351042,1.222853827
Gm22215,1.222737256,0.402099351,1.115099141,0.284316669,0.630789764,-5.424807531,0.416089333,0.9711072,1.222737256
Tlr5,1.221874341,2.076441929,4.024702445,0.001349956,0.144774236,-0.79479103,1.730031667,4.0352912,1.221874341
Snora78,1.221095369,0.894393018,0.844982471,0.412884736,0.724592272,-5.673746686,0.974207233,2.27110746,1.221095369
Mir6998,1.218976692,0.857707669,0.934244125,0.366631618,0.69172995,-5.598051853,1.298943,3.0236996,1.218976692
AA465934,1.214224505,0.508531178,0.993848777,0.337823156,0.673030781,-5.543829947,0.2247234,0.52139432,1.214224505
Mir7669,1.213835992,0.546248824,1.115079995,0.284324586,0.630789764,-5.424827222,0.688699667,1.5974634,1.213835992
Gm23111,1.208215933,0.936567924,0.750382599,0.465936439,0.759156221,-5.746516055,0.380424667,0.8789778,1.208215933
Gm13203,1.204003137,1.348812485,2.607289996,0.021208737,0.2882491,-3.275605021,0.860573833,1.98257304,1.204003137
Glipr1,1.203780106,0.710028594,2.021482673,0.063572065,0.373874052,-4.233156457,0.427223067,0.98407594,1.203780106
Timp1,1.200865094,0.440463424,0.784976209,0.446060873,0.747839774,-5.720812182,0.134947933,0.3102149,1.200865094
Plek2,1.198522389,0.607168627,2.237064753,0.042772345,0.338579465,-3.892094841,0.328684997,0.754346832,1.198522389
Ihh,1.195879918,2.057069024,2.86039743,0.012999883,0.258893821,-2.839015755,1.7813203,4.0807289,1.195879918
Txnip,1.194250561,5.283612645,2.741879953,0.016360015,0.271025055,-3.044574619,19.25077,44.050754,1.194250561
Gm15510,1.191884522,0.577026148,1.679281532,0.116141696,0.44978576,-4.736428093,0.2889247,0.66005126,1.191884522
Gm15408,1.178464901,2.332383118,3.350075559,0.004997029,0.207643857,-1.97805713,2.000630333,4.528143,1.178464901
Sox6os,1.173842079,1.118566521,2.761840083,0.015739888,0.269266016,-3.010080183,0.7149923,1.6131065,1.173842079
Igkv8-19,1.173180434,0.546200076,0.98997354,0.339645639,0.673859798,-5.547442814,0.2838989,0.64021554,1.173180434
Azin2,1.167169474,0.940105025,2.673910198,0.018655806,0.277885462,-3.161607451,0.545324033,1.2246378,1.167169474
Gm10054,1.16604205,0.456365922,0.991111837,0.339109583,0.673112928,-5.546382838,0.2183004,0.4898557,1.16604205
Gm22571,1.15912548,2.18519137,0.870229022,0.399425056,0.715332945,-5.653018822,2.922681667,6.5269916,1.15912548
Onecut1,1.157211678,4.60548648,1.562098387,0.141456516,0.481175315,-4.895572149,25.89911067,57.7617414,1.157211678
Mycn,1.152998693,1.391683863,2.043416632,0.061091333,0.368253494,-4.199202738,0.852148933,1.89497156,1.152998693
Rab40b,1.152845313,0.676517079,2.315318889,0.036949029,0.323082346,-3.764637219,0.360708767,0.80204312,1.152845313
Slc7a15,1.152171915,0.665644249,1.722093778,0.107932194,0.438610404,-4.67646451,0.261632813,0.581474292,1.152171915
Mrip-ps,1.147406507,0.673704425,1.817518653,0.091453248,0.416979761,-4.539538963,0.366082167,0.8109281,1.147406507
Gm5621,1.137945005,1.215105773,2.739969285,0.016420614,0.271025055,-3.047873694,0.913708833,2.01077466,1.137945005
Gm4799,1.13471959,0.583242151,2.152133287,0.050064016,0.350894039,-4.028335949,0.393806067,0.86470314,1.13471959
Zfp13,1.134587254,0.766836059,2.665056839,0.018977024,0.279778372,-3.176799416,0.355002833,0.7794291,1.134587254
Fgfbp3,1.128243924,0.527523536,1.254420752,0.231029816,0.582831551,-5.274358603,0.25655614,0.56081249,1.128243924
Bhlhe41,1.126739401,1.675538099,2.575792985,0.022530628,0.293828032,-3.329230946,1.376116033,3.00495112,1.126739401
Ndufa4l2,1.118787729,1.622711678,2.782941138,0.015109312,0.267070694,-2.973556051,1.101633333,2.3923556,1.118787729
Cyp46a1,1.117725752,1.630727702,2.970891526,0.010483392,0.249141617,-2.645999845,1.340929133,2.90987816,1.117725752
Gpsm1,1.113384913,0.625249855,2.932198047,0.011304564,0.251196025,-2.713719464,0.2903553,0.62819144,1.113384913
Gm24644,1.113153926,2.943328247,3.47267993,0.003932907,0.194522482,-1.761566595,3.558000467,7.69659656,1.113153926
Gm15222,1.112110326,0.457426185,1.296962874,0.216430111,0.569497007,-5.225658732,0.16839772,0.364011224,1.112110326
B3galt4,1.111411293,0.557878676,1.691673002,0.113711026,0.446408345,-4.719169179,0.305125667,0.659245052,1.111411293
Cabcoco1,1.111278227,1.123086732,3.133223641,0.007635568,0.23197939,-2.360744606,0.6831785,1.47591814,1.111278227
Gm8451,1.110061592,1.904225851,3.247372268,0.006108221,0.221711405,-2.159421076,1.6656644,3.5954176,1.110061592
Zfp977,1.105496743,0.833750443,1.989408931,0.067366609,0.380106047,-4.28247454,0.45832619,0.986193998,1.105496743
Lrtm1,1.103552105,1.417562686,1.914603437,0.077034732,0.395936471,-4.395899112,1.219801977,2.621148452,1.103552105
Prok1,1.103465961,2.148173376,4.380705952,0.000686142,0.122140618,-0.185263817,2.1266233,4.56948148,1.103465961
Nodal,1.100276747,0.593183973,1.420621601,0.178169933,0.52543829,-5.077202085,0.176545833,0.37850688,1.100276747
Sult1c2,1.099618701,1.779085219,3.168510926,0.007126606,0.227747627,-2.298553823,1.486713867,3.18599878,1.099618701
Gpm6a,1.092790848,0.68781615,1.790164022,0.095931286,0.422981556,-4.579237762,0.333713593,0.711765154,1.092790848
Pde6g,1.085508313,0.561366719,1.890497641,0.08040902,0.401135612,-4.43195196,0.267268233,0.56717608,1.085508313
Zc3h6,1.0809912,0.699904773,1.664799536,0.119039945,0.451614289,-4.756497211,0.339182067,0.71753594,1.0809912
Nbl1,1.079900715,0.473984388,1.299853355,0.215465561,0.568245149,-5.222304684,0.230894563,0.488085848,1.079900715
Tsc22d1,1.075857817,3.492053075,2.785782996,0.015026299,0.267033803,-2.96863262,5.465833667,11.5218412,1.075857817
Gm7363,1.074073986,0.489628939,1.394118329,0.185863575,0.534255956,-5.109859435,0.304399367,0.64087338,1.074073986
Ptpdc1,1.066427428,0.599187202,2.652341013,0.019447806,0.280522888,-3.198597022,0.3009066,0.63017092,1.066427428
Gm22980,1.060888193,1.246621801,0.448384522,0.661006796,0.863878007,-5.924508775,2.462215333,5.1367118,1.060888193
Pbx4,1.05976133,0.919194651,1.930487025,0.074882112,0.393290534,-4.372008366,0.547854463,1.142050092,1.05976133
Ptch2,1.059665639,0.822634828,1.895964804,0.079632215,0.399598057,-4.423797132,0.496132,1.03416154,1.059665639
Gldn,1.059467321,1.355784679,0.805355091,0.434607775,0.738719984,-5.705178464,1.010354163,2.105741608,1.059467321
Gm16740,1.058362522,0.983911825,2.31526652,0.036952663,0.323082346,-3.764723094,0.557411133,1.16084572,1.058362522
Gpc3,1.055208761,0.52503074,1.911059675,0.077522597,0.396094409,-4.40121479,0.309145017,0.642409182,1.055208761
Gm16104,1.051426524,0.785328627,0.706698977,0.491803723,0.774577207,-5.777455392,0.514237633,1.0657977,1.051426524
Rnls,1.0504083,1.121436732,2.632488846,0.020205561,0.283368463,-3.23257423,0.586382467,1.21446606,1.0504083
Gm13807,1.050229668,0.989335241,1.889798532,0.080508846,0.401135612,-4.432993818,0.6358705,1.31679846,1.050229668
Mup-ps6,1.048773446,0.732542287,0.925555802,0.37096988,0.694695719,-5.605712561,0.497811533,1.0298577,1.048773446
Acot1,1.047050352,1.887834563,1.092101453,0.293945676,0.639028313,-5.448258693,2.364187433,4.8851226,1.047050352
Acss3,1.047045357,0.795793208,2.106484566,0.054447515,0.358729577,-4.100586771,0.470665667,0.97253352,1.047045357
6430550D23Rik,1.04518806,0.696711726,2.920957958,0.01155479,0.251886339,-2.733366891,0.3252312,0.6711586,1.04518806
Rps13-ps1,1.040697793,1.004879608,2.06724757,0.058497423,0.363972723,-4.162108969,0.780911733,1.60650914,1.040697793
Cyp4a14,1.033575549,1.198062559,0.369863835,0.717236717,0.888191051,-5.956618552,2.540448067,5.2005295,1.033575549
Gm10232,1.030059613,0.829661629,2.127701977,0.052367459,0.354618999,-4.067093131,0.5235316,1.0691084,1.030059613
Ccn1,1.029944115,3.21781093,3.953863506,0.001546711,0.150223342,-0.917649498,4.39873,8.9819654,1.029944115
Cnmd,1.025562128,2.357195884,3.190030004,0.006832984,0.227089942,-2.260605999,2.787517333,5.6746952,1.025562128
Chrna1os,1.024150225,2.491599132,3.48674158,0.003826462,0.192376162,-1.736751834,2.638564667,5.3662102,1.024150225
Rpsa-ps9,1.021710673,0.4697024,1.109738342,0.286539702,0.632032064,-5.430309982,0.245383533,0.49820832,1.021710673
4933431G14Rik,1.016304523,0.682728473,1.261223405,0.228644116,0.581150409,-5.266655604,0.297470973,0.601703782,1.016304523
Gm13408,1.013212844,0.594098627,1.911069782,0.077521202,0.396094409,-4.401199637,0.4045111,0.81646562,1.013212844
Bmf,1.010996148,1.919642933,1.679750175,0.116048948,0.44974694,-4.735776816,1.628042333,3.2809972,1.010996148
BC024063,1.009113457,0.576960752,1.892884464,0.080069047,0.400407987,-4.428393363,0.297619747,0.599011504,1.009113457
Cc2d2a,1.008545911,0.776212317,2.62589715,0.020463444,0.28344721,-3.243841209,0.403402533,0.81159842,1.008545911
Gpx7,1.007372848,1.390533078,2.437542947,0.029333378,0.311104044,-3.562275066,0.932518733,1.87459308,1.007372848
Rpl7-ps7,1.007000253,0.538655745,1.05728138,0.308985067,0.648973245,-5.482993058,0.301988867,0.60691548,1.007000253
B4galnt3,1.002803954,1.399698092,2.139921217,0.051203333,0.352217159,-4.047733976,0.839364933,1.68199574,1.002803954
Tspyl4,1.002727398,0.79700447,1.853944127,0.085781023,0.409793714,-4.486138668,0.4005385,0.80259286,1.002727398
Ces1d,1.00057448,8.242088567,3.458150959,0.004046027,0.194522482,-1.787210523,213.79265,427.755598,1.00057448
Gm8055,0.999927482,0.802281274,1.171318739,0.26178326,0.613172846,-5.365804306,0.379405,0.75877186,0.999927482
Nat8,0.99851254,5.841049375,5.707720284,6.29E-05,0.038937276,1.928638951,37.96774667,75.857242,0.99851254
